0.0000000;300.0000000
0.0000000;0.0000000
1.1638564;115.2217807
1.3545617;134.1016035
1.5765152;156.0750055
1.8348373;181.6488895
2.1354870;211.4132173
2.4854002;246.0546198
2.8926489;286.3722367
3.3666278;333.2961521
3.9182712;387.9088499
4.5603049;451.4701862
5.3075399;525.4464524
6.1772142;611.5442010
7.1893900;711.7496143
8.3674174;828.3743229
9.7384721;964.1087330
11.3341827;1122.0840909
13.1913608;1305.9447176
15.3528493;1519.9320793
17.8685114;1768.9826335
20.7963809;2058.8417075
24.2040004;2396.1960375
28.1699800;2788.8280235
32.7858107;3245.7952618
38.1579747;3777.6394933
44.4104019;4396.6297902
51.6873292;5117.0455908
60.1566274;5955.5061097
70.0136740;6931.3537262
81.4858605;8067.1001914
94.8378379;9388.9459504
110.3776218;10927.3845581
128.4636983;12717.9061324
149.5132937;14801.8160735
174.0119993;17227.1879343
202.5249740;20049.9724257
235.7099812;23335.2881389
274.3325632;27158.9237613
319.2837014;31609.0864395
371.6003699;36788.4366230
432.4894579;42816.4563298
503.3556108;49832.2054680
585.8336343;57997.5297973
681.8262074;67500.7945363
793.5477752;78561.2297448
923.5756336;91433.9877244
1074.9093849;106416.0291066
1251.0401355;123852.9734147
1456.0310316;144147.0721322
1694.6109920;167766.4882112
1972.2837988;195256.0960856
2295.4550640;227250.0513369
2671.5799998;264486.4199783
3109.3354024;307824.2048413
3618.8198166;358263.1618438
4211.7864978;416966.8632800
4901.9145472;485289.5401770
5705.1244742;564807.3229432
6639.9454646;657354.6009955
7727.9428297;765066.3401425
8994.2154944;890427.3339423
10467.9750021;1036329.5252068
12183.2193940;1206138.7200013
14179.5175066;1403772.2331573
16502.9217828;1633789.2564972
19207.0306512;1671126.9024649
22354.2249846;1671126.9024649
26017.1071592;1671126.9024649
30280.1759130;1671126.9024649
35241.7756407;1671126.9024649
41016.3650923;1671126.9024649
47737.1578135;1671126.9024649
55559.1952378;1671126.9024649
64662.9233255;1671126.9024649
75258.3552570;1671126.9024649
87589.9162103;1671126.9024649
101942.0819858;1671126.9024649
118645.9415562;1671126.9024649
138086.8349315;1671126.9024649
160713.2425375;1671126.9024649
187047.1311746;1671126.9024649
217695.9952287;1671126.9024649
253366.8709113;1671126.9024649
294882.6468209;1671126.9024649
343201.0470957;1671126.9024649
399436.7250750;1671126.9024649
464886.9771488;1671126.9024649
541061.6699854;1671126.9024649
629718.0715253;1671126.9024649
732901.3892562;1671126.9024649
852991.9509417;1671126.9024649
992760.1162139;1671126.9024649
1155430.1857796;1671126.9024649
1344754.7825572;1671126.9024649
1565101.4206369;1671126.9024649
1821553.2591166;1671126.9024649
2120026.3650953;1671126.9024649
2467406.1909554;1671126.9024649
2871706.4143167;1671126.9024649
3342253.8049298;1671126.9024649
