1.90000000E-01	-4.46412830E-01	3.07584710E-01	3.25717520E-02
1.92500000E-01	-4.52666830E-01	3.16022130E-01	2.48209490E-02
1.95000000E-01	-4.59801460E-01	3.21476770E-01	1.68679870E-02
1.97500000E-01	-4.67785540E-01	3.23795520E-01	8.79202660E-03
2.00000000E-01	-4.76542470E-01	3.22837530E-01	6.94751890E-04
2.02500000E-01	-4.85962810E-01	3.18519260E-01	-7.30205870E-03
2.05000000E-01	-4.95907710E-01	3.10848520E-01	-1.50638090E-02
2.07500000E-01	-5.06210820E-01	2.99938650E-01	-2.24529210E-02
2.10000000E-01	-5.16688040E-01	2.86002660E-01	-2.93387590E-02
2.12500000E-01	-5.27158040E-01	2.69330910E-01	-3.56064470E-02
2.15000000E-01	-5.37467890E-01	2.50256240E-01	-4.11645340E-02
2.17500000E-01	-5.47510520E-01	2.29109910E-01	-4.59513110E-02
2.20000000E-01	-5.57221150E-01	2.06175070E-01	-4.99383490E-02
2.22500000E-01	-5.66546410E-01	1.81649010E-01	-5.31292380E-02
2.25000000E-01	-5.75391390E-01	1.55628520E-01	-5.55525530E-02
2.27500000E-01	-5.83560710E-01	1.28129300E-01	-5.72504730E-02
2.30000000E-01	-5.90714520E-01	9.91407190E-02	-5.82666630E-02
2.32500000E-01	-5.96359550E-01	6.87050240E-02	-5.86377150E-02
2.35000000E-01	-5.99886500E-01	3.69987430E-02	-5.83911040E-02
2.37500000E-01	-6.00651680E-01	4.38889610E-03	-5.75499740E-02
2.40000000E-01	-5.98085810E-01	-2.85581030E-02	-5.61420610E-02
2.42500000E-01	-5.91804180E-01	-6.11226360E-02	-5.42084470E-02
2.45000000E-01	-5.81690440E-01	-9.25235840E-02	-5.18080960E-02
2.47500000E-01	-5.67931910E-01	-1.22031220E-01	-4.90156970E-02
2.50000000E-01	-5.50997660E-01	-1.49070280E-01	-4.59128750E-02
2.52500000E-01	-5.31567370E-01	-1.73287830E-01	-4.25756650E-02
2.55000000E-01	-5.10432360E-01	-1.94574900E-01	-3.90625460E-02
2.57500000E-01	-4.88393970E-01	-2.13045480E-01	-3.54066610E-02
2.60000000E-01	-4.66179850E-01	-2.28983810E-01	-3.16138250E-02
2.62500000E-01	-4.44389880E-01	-2.42773730E-01	-2.76659780E-02
2.65000000E-01	-4.23474400E-01	-2.54823640E-01	-2.35284840E-02
2.67500000E-01	-4.03740930E-01	-2.65499470E-01	-1.91592370E-02
2.70000000E-01	-3.85381330E-01	-2.75075340E-01	-1.45177250E-02
2.72500000E-01	-3.68509100E-01	-2.83706130E-01	-9.57265120E-03
2.75000000E-01	-3.53196610E-01	-2.91421170E-01	-4.30729650E-03
2.77500000E-01	-3.39503540E-01	-2.98134040E-01	1.27767120E-03
2.80000000E-01	-3.27490960E-01	-3.03662970E-01	7.16381560E-03
2.82500000E-01	-3.17219530E-01	-3.07757520E-01	1.33165650E-02
2.85000000E-01	-3.08733800E-01	-3.10128490E-01	1.96882000E-02
2.87500000E-01	-3.02038750E-01	-3.10478660E-01	2.62212880E-02
2.90000000E-01	-2.97076960E-01	-3.08533000E-01	3.28516980E-02
2.92500000E-01	-2.93715450E-01	-3.04068260E-01	3.95109210E-02
2.95000000E-01	-2.91748470E-01	-2.96940520E-01	4.61284210E-02
2.97500000E-01	-2.90917590E-01	-2.87105560E-01	5.26352450E-02
