2.50000000000000e-09	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
7.50000000000000e-09	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
1.25000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
1.75000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
2.25000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
2.75000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
3.25000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
3.75000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
4.25000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
4.75000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
5.25000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
5.75000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
6.25000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
6.75000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
7.25000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
7.75000000000000e-08	2.50000000000000e-09	1.50000000000000e-09	5.00000000000000e-09	5.00000000000000e-09	3.00000000000000e-09
