      0.0000000	      0.0000000
      4.0342607	  11667.7426987
      7.8387854	  23179.0469863
     11.1838383	  34377.4744515
     13.8396833	  45106.5866832
     15.6495135	  55177.5439935
     16.7482375	  64271.9015877
     17.3436927	  72038.8133942
     17.6437167	  78127.4333415
     17.8256549	  82341.3344341
     17.9448854	  85101.7659809
     18.0262940	  86984.3963666
     18.0947667	  88564.8939759
     18.1758982	  90424.3145428
     18.2981188	  93165.2631976
     18.4905674	  97395.7324197
     18.7823833	 103723.7146887
     19.1902297	 112495.6869153
     19.6808667	 123012.0637353
     20.2085786	 134311.7442159
     20.7276500	 145433.6274241
     21.2226974	 156041.3895861
     21.7996667	 168297.8155649
     22.5948359	 184990.4673824
     23.7444833	 208906.9070606
     25.3963112	 242440.5280333
     27.7437187	 286408.0493829
     30.9915294	 341232.0216034
     35.3445667	 407334.9951890
     40.9176060	 484085.8308827
     47.4652313	 566638.6304234
     54.6519784	 649093.8057987
     62.1423833	 725551.7689965
     69.6479302	 791342.8129042
     77.0678958	 846716.7540085
     84.3485052	 893153.2896962
     91.4359833	 932132.1173536
     98.2413003	 964921.1774975
    104.5344063	 991941.3831653
    110.0499966	1013401.8905245
    114.5227667	1029511.8557425
    117.8080758	1040699.7740685
    120.2439396	1048271.4970785
    122.2890378	1053752.2154301
    124.4020500	1058667.1197808
    127.0132708	1064339.7914655
    130.4394542	1071287.3745285
    134.9689687	1079825.4036912
    140.8901833	1090269.4136750
    148.3187323	1102674.4128232
    156.6793125	1116053.3039666
    165.2238865	1129158.4635579
    173.2044167	1140742.2680495
    180.1260253	1149936.9060544
    186.5064729	1157393.8148262
    193.1166799	1164144.2437786
    200.7275667	1171219.4423255
    209.8037164	1179329.1333704
    219.5843646	1187896.9337763
    229.0024096	1196024.9338958
    236.9907500	1202815.2240816
    243.1554062	1207746.3856222
    249.7948875	1211802.9635488
    259.8808250	1216345.9938283
    276.3848500	1222736.5124277
    301.0730557	1231846.0331109
    330.8893833	1242587.9808288
    361.5722359	1253386.2583294
    388.8600167	1262664.7683606
    410.8729461	1269348.1935739
    435.2585146	1274364.3362357
    472.0460299	1279141.7785158
    531.2648000	1285109.1025844
    619.6159690	1293265.9307394
    730.4880271	1302896.0457907
    853.9413008	1312854.2706765
    980.0361167	1321995.4283347
   1102.6044922	1329502.7645097
   1230.5652083	1335873.2161704
   1376.6087370	1341932.1430924
   1553.4255500	1348504.9050508
   1770.4876026	1356198.7554951
   2024.3927833	1364748.5225701
   2308.5204641	1373670.9280949
   2616.2500167	1382482.6938883
   2941.9267805	1390804.2284661
   3283.7599646	1398670.6871322
   3640.9247456	1406220.9118871
   4012.5963000	1413593.7447314
   4399.4566901	1420928.8003433
   4808.2155208	1428368.7841098
   5247.0892828	1436057.1740954
   5724.2944667	1444137.4483647
   6248.2776273	1452735.8618120
   6828.4055771	1461909.7766506
   7474.2751924	1471699.3319237
   8195.4833500	1482144.6666744
   9002.9169721	1493292.7119871
   9912.6231646	1505217.5671104
  10941.9390789	1518000.1233343
  12108.2018667	1531721.2719486
  13428.7321578	1546383.1722252
  14920.7844958	1561673.0553645
  16601.5969026	1577199.4205485
  18488.4074000	1592570.7669596
  20583.1507401	1607404.0583609
  22826.5485958	1621350.1168388
  25144.0193703	1634068.2290606
  27460.9814667	1645217.6816934
  29710.8602323	1654555.0288236
  31859.1087917	1662225.8942142
  33879.1872135	1668473.1690472
  35744.5555667	1673539.7445045
  37594.6681326	1677703.3263313
  40232.9560437	1681380.8785251
  44628.8446456	1685024.1796464
  51751.7592833	1689085.0082558
  62110.8541807	1693839.6231952
  74374.1990750	1698862.2044313
  86749.5925818	1703551.4122121
  97444.8333167	1707305.9067858
 105314.2468036	1709700.3292643
 111798.2662000	1711013.2442154
 118983.8515714	1711699.1970712
 128957.9629833	1712212.7332633
 143057.5810464	1712908.9296169
 159619.7685500	1713744.9885290
 176231.6088286	1714578.6437898
 190480.1852167	1715267.6291895
 200675.9838260	1715711.3799725
 208023.1018792	1715976.1371989
 214449.0393760	1716169.8433832
 221881.2963167	1716400.4410399
 231781.4004789	1716746.1435722
 243746.9907521	1717166.2479394
 256909.7338034	1717590.3219895
 270401.2963000	1717947.9335709
 283476.1432307	1718185.8107315
 295879.9328708	1718319.3223191
 307481.1218172	1718380.9973811
 318148.1666667	1718403.3649651
 329320.4921875	1718413.8150453
 348721.3958333	1718419.1813028
 385645.1432292	1718421.1583452
 449386.0000000	1718421.4407800
 546184.5468750	1718421.4407803
 670066.6250000	1718421.4407807
 812004.3906250	1718421.4407811
1000000.0000000	1720583.6583291
1222222.2222222	1721635.8413903
1444444.4444444	1722688.0244514
1666666.6666667	1723740.2075126
1888888.8888889	1724792.3905737
2111111.1111111	1725844.5736348
2333333.3333333	1726896.7566960
2555555.5555556	1727948.9397571
2777777.7777778	1729001.1228183
3000000.0000000	1730053.3058794
